District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,676,859.599300391972,1.27159659821298
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,649,5260.90378318122,8.10616915744409
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,308,931.76530191116,3.02521201919208
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,218,3007.04369960725,13.7937784385654
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,1491,5870.34040827956,3.9371833724209
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,309,2093.99029657617,6.7766676264601
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,169,1314.43679799139,7.77773253249346
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,391,1976.2792012766,5.05442250965882
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,257,1126.76420032978,4.38429649933767
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,1368,1021.11029660143,0.746425655410402
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,1426,147.791100014467,0.10364032259079
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,610,2444.55319716409,4.00746425764605
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,539,3993.56099687051,7.40920407582655
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,875,78.507799981162,0.0897231999784708
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,878,605.372096087143,0.689489858869184
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,520,181.586799629033,0.349205383901986
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,274,2398.53400734812,8.75377374944569
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,476,653.949897300568,1.37384432206002
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,370,11458.8839304596,30.9699565688098
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,362,5592.43671262264,15.448720200615
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,209,2333.28400021791,11.1640382785546
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,732,2215.69600799587,3.02690711474845
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,171,3225.14451085404,18.8604942155207
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,449,6278.9947959464,13.9843982092348
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,298,1828.77250411734,6.13682048361523
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,1714,711.902502792887,0.415345684243225
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,1133,693.558803414053,0.612143692333674
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,659,1562.87260158546,2.3715820964878
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,603,2510.01849131612,4.16255139521745
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,804,1455.41880145064,1.81022238986398
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,212,1161.04159717262,5.47661130741801
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,645,7468.82479369547,11.5795733235589
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,242,1204.18559980718,4.97597355292225
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,165,519.617098018527,3.14919453344562
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,565,4434.07569793612,7.84792158926746
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,361,287.421501418459,0.796181444372463
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,793,507.107899244875,0.639480326916614
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,889,229.347598566208,0.257983800411933
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,276,1999.1411011517,7.24326485924531
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,186,446.602500732988,2.40108871361822
