District,STATE,TEHSIL,Shape_Leng,Shape_Area,_mean
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,56.0856577131815
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,41.3705905571511
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,49.6161708396887
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,40.4363464807209
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,49.0158520398554
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,49.0421337239883
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,44.3224991059162
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,45.539486211572
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,45.9546200718861
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,57.86271739573
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,63.229669398514
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,56.4314890730805
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,55.5104550400343
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,60.962551466219
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,61.0835388957738
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,60.317209478766
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,46.297536603639
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,52.1774674911757
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,28.6552787080866
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,46.2720521273387
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,34.1349606905582
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,58.9544684847415
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,36.3172937112352
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,37.0389299520997
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,53.7607086175262
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,59.1869391661424
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,58.9511195849268
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,50.7153809477643
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,47.983101868587
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,62.0012682217271
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,46.0570171952813
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,49.8978546689647
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,47.8784461990926
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,45.0869808197021
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,41.3506998216784
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,58.0219715431468
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,58.3976143164228
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,62.7579198018137
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,46.6359428530154
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,52.0980195370349
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,56.4532911782646
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,61.7238319861493
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,48.01726844638
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,53.4021758923164
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,53.4638658394793
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,45.567642626939
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,61.9178784082102
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,54.6748585760487
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,63.1748289919723
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,49.6185980912681
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,39.3865674536324
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,53.6339347625047
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,56.0314087967494
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,58.3728230762482
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,55.9247172436472
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,55.7269976826037
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,58.7994631096868
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,58.3385163980372
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,62.1212829024081
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,60.8650468326507
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,56.3592233639247
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,53.015113008984
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,59.8709359344171
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,53.2495220505189
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,49.5919485154495
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,41.7114829242532
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,24.2102328471779
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,60.5623170898229
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,44.5073724294964
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,62.5228094981716
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,58.9927337621953
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,54.3960637624751
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,60.9333477357251
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,42.0415771987838
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,66.0293091709174
