District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,678.000000000000000,87139.000000000000000,128.523598820058993
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,651.000000000000000,65914.000000000000000,101.250384024577571
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,308.000000000000000,13622.000000000000000,44.227272727272727
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,214.000000000000000,637.000000000000000,2.976635514018692
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,1477.000000000000000,376096.000000000000000,254.635071090047404
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,307.000000000000000,11275.000000000000000,36.726384364820845
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,169.000000000000000,1911.000000000000000,11.307692307692308
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,389.000000000000000,1051.000000000000000,2.701799485861183
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,257.000000000000000,10732.000000000000000,41.758754863813230
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,1369.000000000000000,606625.999999999883585,443.116143170197233
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,1425.000000000000000,1967243.000000000000000,1380.521403508772210
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,611.000000000000000,53966.000000000000000,88.324058919803605
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,544.000000000000000,26844.000000000000000,49.345588235294109
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,876.000000000000000,683200.000000000000000,779.908675799086723
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,878.000000000000000,197148.000000000000000,224.542141230068324
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,523.000000000000000,81194.000000000000000,155.246653919694069
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,251.000000000000000,1251.000000000000000,4.984063745019920
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,480.000000000000000,122821.000000000000000,255.877083333333331
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,370.000000000000000,2121.000000000000000,5.732432432432432
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,361.000000000000000,6641.000000000000000,18.396121883656509
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,204.000000000000000,2241.000000000000000,10.985294117647058
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,731.000000000000000,78680.000000000000000,107.633378932968540
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,170.000000000000000,269.000000000000000,1.582352941176471
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,452.000000000000000,7375.000000000000000,16.316371681415930
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,299.000000000000000,16654.000000000000000,55.698996655518393
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,1718.000000000000000,990740.000000000000000,576.682188591385398
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,1136.000000000000000,421524.999999999941792,371.060739436619713
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,659.000000000000000,43535.000000000000000,66.062215477996972
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,602.000000000000000,13290.000000000000000,22.076411960132891
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,802.000000000000000,150138.000000000000000,187.204488778054866
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,211.000000000000000,8332.000000000000000,39.488151658767769
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,645.000000000000000,28573.000000000000000,44.299224806201551
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,241.000000000000000,13226.000000000000000,54.879668049792528
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,165.000000000000000,3214.000000000000000,19.478787878787880
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,564.000000000000000,14792.000000000000000,26.226950354609929
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,364.000000000000000,1197.000000000000000,3.288461538461538
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,792.000000000000000,105841.000000000000000,133.637626262626270
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,889.000000000000000,707019.000000000000000,795.296962879640091
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,276.000000000000000,3974.000000000000000,14.398550724637682
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,186.000000000000000,8062.000000000000000,43.344086021505376
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,463.000000000000000,29328.000000000000000,63.343412526997838
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,1437.000000000000000,1001825.999999999883585,697.164926931106379
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,506.000000000000000,12525.000000000000000,24.752964426877469
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,520.000000000000000,18519.000000000000000,35.613461538461536
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,966.000000000000000,202583.000000000000000,209.713250517598340
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,324.000000000000000,15192.000000000000000,46.888888888888886
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,1640.000000000000000,674521.999999999883585,411.293902439024407
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,563.000000000000000,44663.000000000000000,79.330373001776195
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,1548.000000000000000,1492119.000000000000000,963.901162790697640
