District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,678.000000000000000,532606.031127929687500,785.554618182787181
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,651.000000000000000,754503.947235107421875,1158.992238456386303
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,308.000000000000000,219718.165832519502146,713.370668287401031
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,197.000000000000000,583565.276000976562500,2962.260284268916621
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,1492.000000000000000,1505352.188896179199219,1008.949188268216631
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,307.000000000000000,417035.779541015566792,1358.422734661288814
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,169.000000000000000,207316.282592773437500,1226.723565637712682
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,363.000000000000000,795493.188354492187500,2191.441290232760821
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,257.000000000000000,455420.027343750000000,1772.062363205252950
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,1369.000000000000000,715947.860504150390625,522.971410156428306
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,1425.000000000000000,171187.956825256347656,120.131899526495687
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,611.000000000000000,850916.805114746093750,1392.662528829371695
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,544.000000000000000,355990.649108886718750,654.394575567806442
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,876.000000000000000,335862.615715026855469,383.404812460076300
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,878.000000000000000,688301.529998779296875,783.942517082891982
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,523.000000000000000,379991.008743286132812,726.560246163071156
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,273.000000000000000,523395.540893554687500,1917.199783492874303
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,480.000000000000000,574341.090820312500000,1196.543939208984284
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,360.000000000000000,1123910.518615722656250,3121.973662821451853
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,362.000000000000000,743385.971923828125000,2053.552408629359434
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,209.000000000000000,510010.912353515625000,2440.243599777586496
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,731.000000000000000,502835.219390869140625,687.873077142091802
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,166.000000000000000,947140.331054687500000,5705.664644907756156
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,452.000000000000000,1185827.579833984375000,2623.512344765452326
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,299.000000000000000,482200.624755859375000,1612.711119584814014
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,1718.000000000000000,522595.361755371093750,304.188219880891211
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,1136.000000000000000,360680.430870056152344,317.500379287021246
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,659.000000000000000,629952.568847656250000,955.921955762756056
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,579.000000000000000,784355.020446777343750,1354.671883327767546
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,803.000000000000000,860575.211914062500000,1071.700139369940871
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,211.000000000000000,140831.206054687500000,667.446474192831715
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,645.000000000000000,1145890.020263671875000,1776.573674827398236
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,241.000000000000000,236443.782470703125000,981.094533073457001
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,165.000000000000000,228379.040283203095896,1384.115395655776410
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,564.000000000000000,414540.055786132812500,735.000098911582995
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,364.000000000000000,309302.641113281250000,849.732530530992562
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,792.000000000000000,425677.277099609375000,537.471309469203788
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,889.000000000000000,305730.241744995117188,343.903534021366852
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,276.000000000000000,372308.576904296875000,1348.944119218466994
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,186.000000000000000,156285.230529785156250,840.243174891318063
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,463.000000000000000,322273.455505371093750,696.054979493242058
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,1437.000000000000000,500830.849273681582417,348.525295249604483
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,510.000000000000000,656976.977172851562500,1288.190151319316783
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,520.000000000000000,388773.407409667968750,747.641168095515354
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,966.000000000000000,665646.007202148437500,689.074541617130876
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,324.000000000000000,475107.698364257812500,1466.381785074869867
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,1640.000000000000000,780179.904266357421875,475.719453820949639
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,563.000000000000000,654452.835235595703125,1162.438428482407971
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,1548.000000000000000,247107.739746093750000,159.630322833393933
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,854.000000000000000,743996.929901123046875,871.190784427544600
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,225.000000000000000,547070.863891601562500,2431.426061740452042
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,445.000000000000000,549401.668090820312500,1234.610490091730981
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,311.000000000000000,116291.633209228515625,373.928081058612634
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,603.000000000000000,553421.311309814453125,917.779952420919471
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,598.000000000000000,804914.824218750000000,1346.011411737040135
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,237.000000000000000,478307.400756835937500,2018.174686737704405
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,1147.000000000000000,414331.197540283203125,361.230337872958330
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,522.000000000000000,248186.339355468750000,475.452757385955465
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,921.000000000000000,377538.405349731445312,409.922264223378306
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,674.000000000000000,1092099.576232910156250,1620.325780760994348
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,570.000000000000000,547115.065979003906250,959.850992945620874
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,708.000000000000000,613834.952545166015625,866.998520544019811
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,992.000000000000000,665357.544326782226562,670.723330974578857
