District,STATE,TEHSIL,Shape_Leng,Shape_Area,_count,_sum,_mean
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,19,38898.0579833984,2047.26620965255
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,18,52427.7531738281,2912.65295410156
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,7,22636.6804199219,3233.81148856027
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,6,19504.5446777344,3250.75744628906
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,44,111444.490966797,2532.82934015447
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,11,35480.9855957031,3225.54414506392
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,5,16473.4423828125,3294.6884765625
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,10,31633.0854492188,3163.30854492188
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,6,15176.1157226562,2529.35262044271
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,39,70508.6934814453,1807.91521747296
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,40,78339.2637939453,1958.48159484863
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,18,43927.4382324219,2440.41323513455
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,17,46304.8955078125,2723.8173828125
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,25,55403.1643066406,2216.12657226562
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,24,54609.7642822266,2275.40684509277
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,16,45634.6166992188,2852.16354370117
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,8,25898.4128417969,3237.30160522461
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,12,26595.1665039062,2216.26387532552
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,10,30892.8701171875,3089.28701171875
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,10,23885.7551269531,2388.57551269531
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,6,18293.9638671875,3048.99397786458
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,20,56415.1958007812,2820.75979003906
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,6,18295.74609375,3049.291015625
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,12,34445.1538085938,2870.42948404948
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,7,16827.0834960938,2403.86907087054
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,49,132222.998046875,2698.42853156888
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,31,81868.9627685547,2640.9342828566
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,17,48403.0383300781,2847.23754882812
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,16,51728.5266113281,3233.03291320801
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,24,59411.4074707031,2475.4753112793
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,6,20312.7687988281,3385.46146647135
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,20,49981.681640625,2499.08408203125
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,6,13071.1235351562,2178.52058919271
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,5,15068.2416992188,3013.64833984375
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,17,52274.4711914062,3074.96889361213
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,10,32837.0026855469,3283.70026855469
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,21,65183.0571289062,3103.95510137649
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,24,45479.4193115234,1894.97580464681
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,8,25968.8737792969,3246.10922241211
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,3,9622.21337890625,3207.40445963542
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,13,38216.6865234375,2939.7451171875
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,39,71430.9813232422,1831.56362367288
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,11,30785.0991210938,2798.64537464489
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,15,47719.77734375,3181.31848958333
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,29,73392.658203125,2530.78131734914
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,10,20506.2912597656,2050.62912597656
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,42,89813.55859375,2138.41806175595
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,17,34536.2312011719,2031.54301183364
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,43,98122.7829589844,2281.92518509266
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,21,34104.9089355469,1624.04328264509
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,6,17458.1823730469,2909.69706217448
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,12,25921.9334716797,2160.16112263997
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,10,28685.9147949219,2868.59147949219
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,15,40816.4821777344,2721.09881184896
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,18,41854.3620605469,2325.24233669705
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,7,15060.015625,2151.43080357143
KOLLAM,KERALA,PUNAL@R,204127.88018499999,997014038.88300001621,32,78917.0584716797,2466.15807723999
PATTANAMTHITTA,KERALA,R>NNI,197390.12392400001,448497177.77600002289,13,39258.9560546875,3019.91969651442
WAYANAD,KERALA,SULT>N BATTERY,171542.21604500001,776226256.95899987221,24,36096.6164550781,1504.02568562826
KOZHIKODE,KERALA,T>MARASSERRY,242389.11249900001,568048623.24100005627,17,41968.5275878906,2468.73691693474
TRISS@R,KERALA,TALAPPALLI,138650.67973700000,483270383.31999999285,16,32246.4124755859,2015.40077972412
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,21,49665.6901855469,2365.03286597842
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,29,76918.404296875,2652.35876885776
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,14,32182.1474609375,2298.72481863839
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,9,21300.8898925781,2366.76554361979
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,5,16705.3647460938,3341.07294921875
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,11,24280.5493164062,2207.32266512784
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,17,49591.7866210938,2917.16391888787
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,23,55724.3117675781,2422.79616380774
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,18,34014.2097167969,1889.67831759983
