District,STATE,TEHSIL,Shape_Leng,Shape_Area,F_CODE_DES,HYC_DESCRI,NAM,ISO,NAME_0,District_2,STATE_2,TEHSIL_2,Shape_Le_1,Shape_Ar_1,RiverLengt,RiverDensi
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,River/Stream,Perennial/Permanent,UNK,IND,India,P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,10996.654,0.019
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,4894.442,0.009
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,River/Stream,Perennial/Permanent,UNK,IND,India,PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,26789.139,0.099
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,7512.118,0.040
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,River/Stream,Perennial/Permanent,UNK,IND,India,TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,18294.887,0.014
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,River/Stream,Perennial/Permanent,UNK,IND,India,KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,3570.298,0.013
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,26789.139,0.183
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,10544.085,0.032
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,7720.684,0.034
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,16552.868,0.014
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,River/Stream,Perennial/Permanent,UNK,IND,India,IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,40623.873,0.033
MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,River/Stream,Perennial/Permanent,UNK,IND,India,MALAPPURAM,KERALA,ERN>D,201424.31134799999,515656834.41699993610,23069.727,0.045
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,River/Stream,Perennial/Permanent,UNK,IND,India,K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,5708.896,0.013
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,River/Stream,Perennial/Permanent,UNK,IND,India,IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,40623.873,0.054
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,River/Stream,Perennial/Permanent,UNK,IND,India,KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,2191.935,0.003
KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,River/Stream,Perennial/Permanent,UNK,IND,India,KOTTAYAM,KERALA,K>NJIRAPALLI,183295.73977700001,451957699.57400000095,41473.460,0.092
>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,K>RTIKAPALLI,85895.44497040000,237099519.50799998641,26789.139,0.113
THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,River/Stream,Perennial/Permanent,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,K>TT>KKADA,130220.89715200001,416240939.13400000334,10493.474,0.025
ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,KANAYANN@R,118972.96692200001,318124142.48900002241,15883.560,0.050
KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,River/Stream,Perennial/Permanent,UNK,IND,India,KANN@R,KERALA,KANN@R,122735.92505500000,301260806.10600000620,31887.770,0.106
KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,KOLLAM,KERALA,KARUN>GAPALLI,87025.14715490000,183184652.05500000715,15135.874,0.083
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,River/Stream,Perennial/Permanent,UNK,IND,India,K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,13519.155,0.022
ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,KOCHCHI,106445.81298200000,144504360.78799998760,4390.094,0.030
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,River/Stream,Perennial/Permanent,PUNALUR AR,IND,India,KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,35194.464,0.089
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,River/Stream,Perennial/Permanent,UNK,IND,India,MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,7900.865,0.031
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,River/Stream,Perennial/Permanent,UNK,IND,India,PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,56708.461,0.038
ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,KOTAMANGALAM,238004.03378100001,975153376.33299982548,4894.442,0.005
KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,River/Stream,Perennial/Permanent,PUNALUR AR,IND,India,KOLLAM,KERALA,KOTT>RAKARA,187637.68064400001,568900033.66700005531,35194.464,0.062
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,River/Stream,Perennial/Permanent,UNK,IND,India,KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,2352.811,0.005
KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,River/Stream,Perennial/Permanent,UNK,IND,India,KOZHIKODE,KERALA,KOYIL>NDI,264954.14358300000,673311720.58599996567,38077.144,0.057
PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,River/Stream,Perennial/Permanent,UNK,IND,India,PATTANAMTHITTA,KERALA,KOZHANCHERI,93756.68791769999,181542926.85899999738,56708.461,0.312
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,River/Stream,Perennial/Permanent,UNK,IND,India,KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,8001.125,0.015
TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,River/Stream,Perennial/Permanent,UNK,IND,India,TRISS@R,KERALA,KUNNAMKULAM,84292.32117260000,205508334.39199998975,41906.286,0.204
KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,KOLLAM,KERALA,KUNNATT@R,75700.72701649999,141972335.23699998856,20447.510,0.144
ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,KUNNATTUN>D,137716.74249500001,484449746.64099997282,9847.132,0.020
>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,KUTTAN>D,91384.64555630001,311324871.45700001717,1757.792,0.006
KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,River/Stream,Perennial/Permanent,UNK,IND,India,KOTTAYAM,KERALA,M|NACHIL,173394.85857499999,689558274.15799999237,13383.970,0.019
WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,River/Stream,Perennial/Permanent,UNK,IND,India,WAYANAD,KERALA,M>NANTAV>DI,175764.50206299999,745412265.46800005436,17659.838,0.024
>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,River/Stream,Perennial/Permanent,UNK,IND,India,>LAPPUZHA,KERALA,M>VELIKARA,96118.53391380000,237253990.29800000787,26789.139,0.113
PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,River/Stream,Perennial/Permanent,UNK,IND,India,PATTANAMTHITTA,KERALA,MALLAPPALLI,86247.13462590000,160478911.27399998903,11591.920,0.072
K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,River/Stream,Perennial/Permanent,UNK,IND,India,K>SARAGOD,KERALA,MANJESHVAR,144865.32400100000,383803482.23900002241,13360.269,0.035
P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,River/Stream,Perennial/Permanent,UNK,IND,India,P>LAKK>D,KERALA,MANN>RKK>D,245016.29567200001,1217721608.10999989510,12918.640,0.011
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,River/Stream,Perennial/Permanent,UNK,IND,India,TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,13037.104,0.030
ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,MUV>TTUPUZHA,152176.06776500001,446715861.95099997520,7798.832,0.017
THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,River/Stream,Perennial/Permanent,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,NEDUMANG>D,150348.45976200001,840827390.95700001717,16153.640,0.019
THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,NEYY>TTINKARA,126299.23202300000,284320417.94300001860,11815.945,0.042
MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,River/Stream,Perennial/Permanent,CHALIYAR,IND,India,MALAPPURAM,KERALA,NILAMB@R,218644.29444600001,1385550070.24000000954,17296.516,0.012
P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,River/Stream,Perennial/Permanent,UNK,IND,India,P>LAKK>D,KERALA,OTTAPP>LAM,132942.48610200000,479397370.10799998045,23723.231,0.049
IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,River/Stream,Perennial/Permanent,UNK,IND,India,IDUKKI,KERALA,P|RMED,298497.65571700002,1337022133.19000005722,20715.596,0.015
P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,River/Stream,Perennial/Permanent,UNK,IND,India,P>LAKK>D,KERALA,P>LAKK>D,170851.07890800000,723530052.34300005436,12833.045,0.018
ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,River/Stream,Perennial/Permanent,UNK,IND,India,ERN>KULAM,KERALA,PARAV@R,76791.30572670000,195295055.29500001669,22809.852,0.117
P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,P>LAKK>D,KERALA,PATT>MBI,121650.73941400000,376983297.06699997187,16279.176,0.043
KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,River/Stream,Perennial/Permanent,UNK,IND,India,KOLLAM,KERALA,PATTAN>PURAM,128665.13107900000,267205384.11300000548,56708.461,0.212
KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,River/Stream,Perennial/Permanent,UNK,IND,India,KANN@R,KERALA,PAYYANN@R,162368.56932800001,507758531.94700002670,19090.510,0.038
MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,River/Stream,Perennial/Permanent,UNK,IND,India,MALAPPURAM,KERALA,PERINTALMANNA,174980.66034999999,511081839.53500002623,21058.805,0.041
MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,River/Stream,Perennial/Permanent,UNK,IND,India,MALAPPURAM,KERALA,PONN>NI,76496.21344250000,204157117.33599996567,25186.107,0.123
