District,STATE,TEHSIL,Shape_Leng,Shape_Area,MED_DESCRI,RTT_DESCRI,F_CODE_DES,ISO,ISOCOUNTRY,District_2,STATE_2,TEHSIL_2,Shape_Le_1,Shape_Ar_1,RoadLength,RoadDensit
P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,Unknown,Unknown,Road,IND,INDIA,P>LAKK>D,KERALA,>LATT@R,150475.24090999999,578919605.39199995995,16916.526,0.029
ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,Without Median,Primary Route,Road,IND,INDIA,ERN>KULAM,KERALA,>LUVA,155736.40339699999,550828741.98500001431,22859.977,0.042
PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,Without Median,Secondary Route,Road,IND,INDIA,PATTANAMTHITTA,KERALA,AD@R,110539.20932100000,270281877.99599999189,21308.629,0.079
>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,Without Median,Primary Route,Road,IND,INDIA,>LAPPUZHA,KERALA,AMBALAPUZHA,92255.87173519999,187397416.17699998617,81640.988,0.436
TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,Without Median,Primary Route,Road,IND,INDIA,TRISS@R,KERALA,CH>LAKKUDI,376808.06941900001,1270626860.08999991417,22859.977,0.018
KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,Unknown,Primary Route,Road,IND,INDIA,KOTTAYAM,KERALA,CHANGAN>SSERI,125737.82781700000,269182222.98799997568,16438.395,0.061
>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,Without Median,Secondary Route,Road,IND,INDIA,>LAPPUZHA,KERALA,CHENGANN@R,81001.79014110002,146732103.62999999523,21308.629,0.145
>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,Without Median,Primary Route,Road,IND,INDIA,>LAPPUZHA,KERALA,CHERTTALA,94685.60625660000,333937588.86900001764,81640.988,0.244
THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,Without Median,Secondary Route,Road,IND,INDIA,THIRUVANANTHAPURAM,KERALA,CHIRAYINK|ZH,98320.21284209999,224061572.18099999428,5499.934,0.025
P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,Without Median,Secondary Route,Road,IND,INDIA,P>LAKK>D,KERALA,CHITT@R,227752.44271300000,1161171890.82999992371,7219.226,0.006
