SUB-DISTRICT,ELEVATION,RIVER DENSITY,RAINFALL,POPULATION DENSITY,ROAD DENSITY,BUILTUP,DEPRIVATION INDEX,LITERACY RATE,SEX RATIO,CROPLAND,,ELEVATION,RIVER DENSITY,RAINFALL,Hazard Index,POPULATION DENSITY,ROAD DENSITY,BUILTUP,Exposure Index,DEPRIVATION INDEX,LITERACY RATE,SEX RATIO,CROPLAND,Vulnerability Index,,Risk Index
ALATHUR,128.5235988,0.019,38898.05798,785.5546182,0.029,859.5993004,56.08565771,87.2,1058,0.500500005,,0.907942816,0.051779935,0.238790026,0.399504259,0.119133259,0.051327434,0.068634946,0.079698546,0.275862069,0.685,0.334720727,0.092057184,0.346909995,,0.011045583
ALUVA,101.250384,0.009,52427.75317,1158.992238,0.042,5260.903783,41.37059056,94.8,1027,0.871800005,,0.927721221,0.019417476,0.349145725,0.432094807,0.185991272,0.074336283,0.455380026,0.238569194,0.8,0.84,0.829251652,0.072278779,0.635382608,,0.065498105
ADOOR,44.22727273,0.099,22636.68042,713.3706683,0.079,931.7653019,49.61617084,95.4,1145,0.551500008,,0.969074108,0.310679612,0.106153212,0.461968977,0.106209881,0.139823009,0.074976213,0.107003034,0.84137931,0.25,0.402647144,0.030925892,0.381238086,,0.018845392
AMBALAPPUZHA,2.976635514,0.04,19504.54468,2962.260284,0.436,3007.0437,40.43634648,95.7,1064,0.737999976,,0.998988873,0.1197411,0.080605775,0.399778583,0.508837476,0.771681416,0.257332083,0.512616992,0.862068966,0.655,0.65104467,0.001011127,0.542281191,,0.111131471
CHAVAKKAD,254.6350711,0.014,111444.491,1008.949188,0.018,5870.340408,49.01585204,95.1,1181,0.663562503,,0.81648738,0.035598706,0.830518972,0.560868352,0.159128472,0.031858407,0.508931563,0.233306147,0.820689655,0.07,0.551902111,0.18351262,0.406526096,,0.05319558
CHANGANASSERY,36.72638436,0.013,35480.9856,1358.422735,0.061,2093.990297,49.04213372,97.7,1063,0.613500006,,0.974513717,0.03236246,0.210918489,0.405931555,0.221696102,0.107964602,0.177101571,0.168920758,1,0.66,0.48522435,0.025486283,0.542677658,,0.037211551
CHENGANNUR,11.30769231,0.183,16473.44238,1226.723566,0.145,1314.436798,44.32249911,96.7,1161,0.879666666,,0.99294723,0.582524272,0.055882424,0.543784642,0.198117479,0.256637168,0.108601771,0.187785473,0.931034483,0.17,0.839729182,0.00705277,0.486954109,,0.049725249
CHERTHALA,2.701799486,0.032,31633.08545,2191.44129,0.244,1976.279201,45.53948621,95.5,1043,1,,0.999188183,0.093851133,0.179532881,0.424190732,0.370834706,0.431858407,0.166758232,0.323150448,0.848275862,0.76,1,0.000811817,0.65227192,,0.089411755
CHIRAYINKEEZHU,41.75875486,0.034,15176.11572,1772.062363,0.025,1126.7642,45.95462007,92.8,1195,0.872239735,,0.970864266,0.100323625,0.045300708,0.372162866,0.295751639,0.044247788,0.092110875,0.144036767,0.662068966,0,0.829837324,0.029135734,0.380260506,,0.020383916
CHITTUR,443.1161432,0.014,70508.69348,522.9714102,0.006,1021.110297,57.8627174,83.2,1033,0.546615384,,0.679801808,0.035598706,0.496623902,0.404008139,0.07212195,0.010619469,0.082827007,0.055189475,0,0.81,0.39614136,0.320198192,0.381584888,,0.008508197
DEVIKULAM,1380.521404,0.033,78339.26379,120.1318995,0.046,147.7911,63.2296694,86.3,995,0.406357145,,0,0.097087379,0.560494377,0.219193919,0,0.081415929,0.006087962,0.029167964,0.213793103,1,0.209332751,1,0.605781464,,0.003873028
ERNAD,88.32405892,0.045,43927.43823,1392.662529,0.061,2444.553197,56.43148907,94.6,1052,0.755874997,,0.93709533,0.13592233,0.279812441,0.450943367,0.227826187,0.107964602,0.207905729,0.181232173,0.786206897,0.715,0.67485224,0.06290467,0.559740952,,0.045745079
HOSDURG,49.34558824,0.013,46304.89551,654.3945756,0.058,3993.560997,55.51045504,90.8,1115,0.820999995,,0.96536233,0.03236246,0.299204301,0.432309697,0.095651158,0.102654867,0.344017909,0.180774645,0.524137931,0.4,0.761591603,0.03463767,0.430091801,,0.033611946
IDUKKI,779.9086758,0.054,55403.16431,383.4048125,0.112,78.50779998,60.96255147,95.6,1012,0.514428564,,0.435561476,0.165048544,0.373414828,0.324674949,0.04713479,0.198230088,0,0.081788293,0.855172414,0.915,0.353272043,0.564438524,0.671970745,,0.017843921
